,mean,std
PCA_20,0.0004771123640918029,0.0001875524237889862
PCA_1,0.0003783108695476267,0.0004860355244124163
PCA_25,0.0002521698620261192,0.0004493225003870463
PCA_16,0.00014174441342513778,0.00048271127420441843
PCA_2,8.514215252832801e-05,0.00036031578734610416
PCA_21,7.309533068171614e-05,0.0003354591529302716
PCA_28,1.3724503652068343e-05,0.0006629959915157067
PCA_6,1.2624757700585576e-05,0.00044300795548902295
PCA_18,-2.6954505219611845e-06,0.0004344526525049976
PCA_11,-2.0305955614685622e-05,0.0005513897636182354
PCA_12,-3.818391743248828e-05,0.000453489273870135
PCA_29,-6.815157455037912e-05,0.0006107644556705265
PCA_31,-8.546930514321537e-05,0.0006888901775873621
PCA_17,-0.00011924732315227171,0.00032421655717847995
PCA_7,-0.00012491554516473878,0.00046804680580343755
PCA_4,-0.0001268640159485912,0.0002760815140039869
PCA_24,-0.0001578509086689328,0.0005424912849374986
PCA_22,-0.00016349704975600067,0.00021165785292724017
PCA_9,-0.00019529272274911857,0.0005560080436961185
PCA_23,-0.0002048997181093304,0.0004511108746250757
PCA_8,-0.0002491302369646009,0.00034660636913602975
PCA_10,-0.00027672272092815753,0.00056854602610207
PCA_5,-0.0002776918705461373,0.00045013330482676335
PCA_26,-0.00030659913391073434,0.000682046542847903
PCA_0,-0.0003327883789495667,0.00028023138625770955
PCA_13,-0.00033966386751806967,0.000545208268844235
PCA_27,-0.0003533719167281513,0.00046056748246443813
PCA_19,-0.0004584594354909655,0.0004747376405564593
PCA_15,-0.00045872258307233515,0.00046926402615867305
PCA_14,-0.0004926969109460444,0.0003787628150648644
PCA_3,-0.0005496660038261103,0.0005291112097914878
PCA_30,-0.0006958585807969042,0.0005691493822103968
